CPF,Tipo de Financiamento,Valor Financiado,Número de Parcelas,Valor da Parcela,Taxa de Juros (%),Tem Seguro?,Instituição Financeira,Data de Início,Data de Término,Número de Parcelas Pagas,Número de Parcelas em Atraso,Tem Reajuste Anual?,Valor da Entrada
529.167.480-67,Imóvel,547542,137,3996.6569343065694,4.26,Sim,Casa Grande,23/04/2024,12/11/2044,38,8,Não,89236
723.859.604-00,Veículo,63572,304,209.1184210526316,9.91,Sim,Silveira Câmara S/A,28/02/2024,02/09/2042,191,1,Não,81577
590.136.287-02,Imóvel,852929,141,6049.141843971631,2.35,Sim,Montenegro S/A,29/08/2020,25/05/2046,27,11,Sim,61928
670.423.859-00,Veículo,61820,139,444.7482014388489,5.08,Não,Marques Cassiano - EI,20/08/2021,03/12/2054,90,4,Não,60944
317.596.284-09,Imóvel,838197,333,2517.108108108108,4.9,Sim,Barbosa e Filhos,16/04/2022,04/01/2032,27,5,Não,50253
173.062.985-77,Veículo,438937,106,4140.915094339623,8.98,Não,Nogueira Pimenta Ltda.,23/01/2024,29/03/2054,32,4,Sim,16497
809.364.521-70,Veículo,293430,319,919.8432601880878,5.87,Sim,da Rosa,15/11/2022,27/09/2054,7,1,Sim,12522
362.541.079-61,Imóvel,883448,185,4775.394594594594,4.41,Sim,Ribeiro Santos - ME,25/11/2020,10/06/2044,166,10,Não,26251
853.079.426-56,Veículo,258277,45,5739.488888888889,7.19,Não,Rios S.A.,01/12/2020,18/12/2051,4,5,Sim,15203
130.687.459-93,Imóvel,733468,284,2582.6338028169016,3.98,Sim,Melo Ltda.,18/03/2024,27/07/2040,200,12,Não,83821
045.362.891-51,Imóvel,735945,72,10221.458333333334,3.63,Sim,Nogueira da Paz e Filhos,27/03/2024,18/03/2029,6,9,Não,20589
852.967.134-19,Veículo,203826,131,1555.923664122137,5.66,Não,Leão,21/10/2021,12/06/2029,70,4,Não,22335
785.946.203-65,Imóvel,738182,244,3025.3360655737706,3.74,Sim,Costela,31/08/2022,08/10/2047,232,11,Sim,56206
965.834.021-06,Veículo,124321,307,404.9543973941368,9.78,Não,Albuquerque Melo - ME,30/03/2021,03/02/2041,80,12,Sim,90472
628.140.593-51,Veículo,474140,156,3039.358974358974,8.1,Sim,Cardoso S/A,20/08/2024,17/07/2029,115,12,Sim,13177
285.317.946-09,Imóvel,852944,248,3439.2903225806454,4.39,Sim,Santos,18/02/2022,24/01/2052,170,7,Sim,68334
459.830.672-65,Imóvel,681638,228,2989.6403508771928,2.46,Sim,da Cunha - ME,24/11/2022,16/02/2045,173,10,Sim,31874
106.852.493-60,Imóvel,757751,303,2500.828382838284,2.29,Sim,Montenegro Ltda.,30/05/2024,02/10/2037,4,12,Não,75339
382.576.910-03,Imóvel,679395,196,3466.301020408164,1.62,Sim,Dias Sales - EI,25/02/2025,19/08/2040,103,6,Não,85314
257.943.108-04,Veículo,244001,72,3388.902777777778,7.14,Não,Guerra Ltda.,01/12/2021,16/08/2054,69,1,Sim,98226
438.029.157-04,Veículo,131139,333,393.8108108108109,9.59,Sim,Silveira Araújo S.A.,04/01/2021,30/05/2040,233,11,Não,65463
915.720.836-03,Veículo,492639,96,5131.65625,5.93,Sim,Aparecida,17/05/2024,22/05/2048,95,9,Sim,76427
749.138.560-57,Veículo,411416,318,1293.7610062893082,5.52,Não,Vieira,20/11/2023,31/01/2036,254,12,Sim,66257
685.023.147-26,Veículo,236446,161,1468.608695652174,9.73,Não,Lima,19/03/2024,28/05/2044,25,9,Não,27595
018.742.693-78,Imóvel,694388,108,6429.518518518518,4.45,Sim,Fernandes e Filhos,02/05/2021,27/07/2046,78,6,Sim,72996
728.106.435-71,Imóvel,976403,270,3616.307407407408,4.19,Sim,Rios,09/03/2025,04/09/2045,37,11,Não,89733
746.051.392-06,Imóvel,613741,43,14273.046511627908,4.22,Sim,da Rocha,24/03/2025,03/12/2053,19,8,Sim,53437
351.078.296-86,Imóvel,610042,260,2346.3153846153846,1.15,Sim,Albuquerque da Paz - ME,11/05/2021,07/10/2050,188,1,Sim,49063
941.053.762-25,Imóvel,954433,241,3960.302904564315,4.84,Sim,Alves,06/09/2021,02/04/2051,186,4,Não,12410
714.268.309-04,Veículo,245221,236,1039.072033898305,9.57,Sim,Cirino,28/10/2021,04/07/2029,111,7,Sim,21504
365.792.018-86,Veículo,96481,145,665.3862068965517,9.32,Não,Costela,05/08/2020,15/01/2031,133,4,Sim,96790
718.492.563-73,Imóvel,874847,337,2595.985163204748,4.1,Sim,Cirino Pires S.A.,16/06/2023,07/08/2042,254,9,Sim,97885
526.197.084-94,Veículo,249615,186,1342.016129032258,7.08,Sim,Gomes,26/01/2022,21/05/2031,121,1,Sim,69321
027.638.954-92,Imóvel,778520,50,15570.4,3.03,Sim,Moura,19/09/2023,16/09/2039,39,9,Não,45981
931.578.604-10,Veículo,330460,213,1551.455399061033,5.41,Não,Teixeira,11/11/2021,10/07/2041,69,9,Não,53352
673.084.925-83,Imóvel,623505,257,2426.089494163424,3.11,Sim,Costela S/A,16/08/2024,14/02/2032,45,9,Não,11323
564.290.837-56,Imóvel,600955,36,16693.194444444445,4.95,Sim,Vieira,08/12/2020,04/01/2026,26,12,Não,14160
103.976.245-06,Imóvel,648558,268,2419.992537313433,1.08,Sim,Monteiro,01/09/2020,03/10/2040,153,10,Sim,11482
403.618.592-60,Veículo,242092,315,768.5460317460318,6.96,Sim,Cavalcanti Novaes - ME,15/01/2024,13/06/2030,38,11,Não,74308
842.360.719-40,Imóvel,723298,26,27819.153846153848,3.77,Sim,Campos,10/03/2022,30/09/2045,24,11,Sim,55175
243.619.087-96,Veículo,413308,203,2036.0,8.57,Não,Ferreira Vasconcelos S/A,05/10/2021,18/02/2037,123,7,Sim,90625
501.286.947-85,Veículo,440843,218,2022.2155963302755,5.35,Não,Macedo Ltda.,21/10/2024,21/12/2051,121,1,Não,93536
579.234.160-52,Veículo,192028,287,669.0871080139373,7.37,Sim,Correia S/A,16/12/2021,20/05/2050,228,9,Sim,61987
307.514.829-60,Imóvel,986904,339,2911.221238938053,3.05,Sim,da Cruz,17/11/2020,08/01/2043,322,8,Sim,84785
972.130.684-31,Imóvel,736634,179,4115.27374301676,1.5,Sim,Duarte e Filhos,27/12/2021,10/03/2043,94,12,Não,83586
235.890.674-38,Veículo,365438,303,1206.06600660066,5.79,Não,Sampaio e Filhos,24/11/2023,06/07/2026,272,2,Sim,80889
203.587.916-77,Veículo,373639,42,8896.166666666666,9.93,Sim,Pires,25/09/2024,28/06/2035,4,8,Sim,97521
675.819.430-20,Veículo,78455,56,1400.982142857143,8.32,Não,Nascimento Souza S.A.,19/11/2021,31/07/2034,20,9,Não,64149
647.815.302-90,Imóvel,855534,358,2389.759776536313,1.61,Sim,Ribeiro,18/03/2022,09/10/2043,268,7,Não,69676
703.642.859-74,Veículo,196904,61,3227.934426229508,8.96,Sim,Lima Araújo S.A.,13/11/2022,11/02/2049,9,12,Sim,40390
682.745.019-85,Imóvel,562205,78,7207.75641025641,4.95,Sim,Lopes S.A.,27/11/2021,28/03/2030,40,8,Sim,64065
842.519.037-14,Veículo,459277,172,2670.2151162790697,9.82,Não,Vieira,16/04/2022,16/07/2038,109,2,Sim,71446
419.062.758-58,Veículo,258767,82,3155.69512195122,8.11,Sim,Sá das Neves S/A,17/05/2023,08/07/2048,7,8,Sim,57153
832.154.790-79,Veículo,195288,310,629.9612903225807,7.48,Sim,Barros,23/11/2021,29/06/2037,163,8,Sim,37663
506.178.239-95,Imóvel,983583,201,4893.44776119403,2.06,Sim,da Mata Sousa S/A,24/12/2023,09/09/2040,174,10,Sim,51778
481.573.692-82,Veículo,183703,92,1996.7717391304348,9.1,Não,Garcia Siqueira - EI,22/03/2025,27/05/2046,36,3,Sim,69039
234.681.590-05,Veículo,204049,146,1397.5958904109589,6.9,Não,Teixeira,17/01/2025,29/07/2032,56,3,Sim,78801
853.246.901-98,Imóvel,858035,297,2889.006734006734,3.94,Sim,Vasconcelos,07/07/2024,02/06/2052,76,8,Sim,49952
963.421.085-60,Veículo,251931,272,926.216911764706,7.84,Sim,Garcia da Luz Ltda.,02/10/2024,01/12/2032,57,11,Não,92354
346.215.798-19,Imóvel,527853,157,3362.12101910828,3.94,Sim,da Costa e Filhos,02/12/2022,27/03/2027,39,9,Não,16520
143.925.786-82,Imóvel,900911,304,2963.5230263157896,1.25,Sim,Rocha,27/07/2022,16/09/2028,217,0,Sim,75875
621.430.985-70,Imóvel,861303,126,6835.738095238095,1.41,Sim,Alves Cirino - ME,19/01/2022,08/07/2033,66,11,Não,29141
326.714.058-71,Veículo,71935,89,808.2584269662922,6.84,Não,Gonçalves e Filhos,02/05/2025,20/09/2044,24,8,Não,33416
947.213.568-46,Imóvel,519224,197,2635.654822335025,3.82,Sim,Andrade,05/01/2022,03/08/2042,195,0,Sim,31927
504.279.813-79,Imóvel,991620,334,2968.9221556886228,2.36,Sim,Guerra,12/06/2021,13/11/2037,51,10,Sim,80062
792.540.631-34,Imóvel,668868,54,12386.444444444443,1.09,Sim,Vieira e Filhos,24/08/2021,05/02/2053,19,4,Sim,10247
573.982.106-12,Imóvel,830096,277,2996.736462093863,3.26,Sim,Moraes,21/10/2020,23/10/2032,118,6,Sim,85865
458.326.071-71,Imóvel,893070,61,14640.491803278688,3.19,Sim,da Conceição,22/03/2022,15/03/2030,11,7,Não,96053
743.560.218-35,Veículo,244212,32,7631.625,8.09,Não,Peixoto e Filhos,27/09/2021,28/09/2030,10,11,Sim,40744
671.942.530-70,Veículo,78480,212,370.188679245283,5.47,Não,Pinto,19/02/2025,30/05/2032,32,7,Sim,36629
735.086.429-92,Veículo,332486,167,1990.934131736527,6.58,Sim,Melo,13/12/2024,09/08/2044,134,5,Sim,76255
506.493.172-70,Imóvel,587193,18,32621.83333333333,4.86,Sim,Moraes - ME,09/01/2025,21/04/2049,12,11,Sim,85926
471.269.853-55,Imóvel,959136,115,8340.313043478262,1.28,Sim,Rezende - ME,04/09/2021,28/10/2031,87,4,Não,46814
794.213.865-82,Veículo,135822,206,659.3300970873786,7.73,Não,Fogaça Viana S.A.,09/07/2023,16/05/2038,89,0,Não,56781
853.904.761-66,Veículo,464736,182,2553.4945054945056,8.82,Sim,Aragão - EI,13/09/2020,28/09/2054,72,8,Não,24995
153.274.986-46,Imóvel,934367,357,2617.274509803922,4.42,Sim,Vieira Ltda.,19/04/2022,08/08/2035,130,11,Sim,98931
168.950.342-42,Imóvel,903336,28,32262.0,1.68,Sim,Pastor Gomes - EI,19/02/2022,09/07/2046,7,12,Sim,54481
823.641.975-46,Imóvel,899755,287,3135.034843205575,1.74,Sim,Mendonça Sousa - EI,21/02/2021,22/07/2044,119,2,Não,77780
093.761.482-31,Imóvel,729051,147,4959.530612244898,3.13,Sim,da Mota Fonseca Ltda.,27/09/2024,18/12/2051,133,12,Sim,81618
824.517.639-73,Imóvel,574117,40,14352.925,1.88,Sim,Silveira e Filhos,14/07/2023,06/10/2048,17,0,Sim,62698
612.309.458-06,Imóvel,545906,148,3688.554054054054,3.29,Sim,Vargas S/A,14/01/2021,29/06/2034,7,1,Sim,16742
867.102.539-02,Veículo,278723,214,1302.443925233645,8.46,Sim,Cardoso Ltda.,11/11/2021,08/08/2034,106,3,Não,43103
978.150.623-77,Imóvel,880821,332,2653.0753012048194,4.69,Sim,da Rosa,10/12/2023,13/06/2029,327,4,Sim,32507
092.476.583-65,Imóvel,580178,331,1752.8036253776436,2.92,Sim,Araújo Rodrigues Ltda.,13/05/2021,26/05/2053,194,0,Sim,72849
569.807.214-02,Imóvel,572608,108,5301.925925925926,1.18,Sim,Azevedo,21/04/2024,22/11/2047,6,6,Não,73299
920.631.485-89,Imóvel,579751,161,3600.9378881987577,3.38,Sim,Ferreira,12/02/2024,19/05/2045,26,0,Não,17730
324.897.165-73,Veículo,424696,258,1646.108527131783,6.68,Não,da Rocha Ferreira S.A.,24/06/2020,16/03/2034,94,6,Não,76779
409.673.518-39,Veículo,140739,264,533.1022727272727,5.6,Não,da Rosa Albuquerque S.A.,10/10/2024,05/09/2054,99,8,Sim,26632
357.240.619-61,Imóvel,970403,16,60650.1875,2.37,Sim,Vasconcelos,26/06/2023,31/12/2025,13,1,Sim,47655
532.401.987-97,Veículo,155063,310,500.2032258064516,5.82,Sim,Fernandes,18/06/2022,14/07/2052,124,6,Sim,18105
760.429.831-13,Veículo,185441,297,624.3804713804714,6.45,Não,Sá Nunes S.A.,27/10/2024,01/08/2052,257,9,Não,21789
279.156.038-68,Veículo,372177,293,1270.2286689419795,8.56,Não,Gonçalves,30/06/2023,10/11/2042,210,4,Não,52082
764.159.280-58,Veículo,498484,265,1881.0716981132075,6.13,Sim,Novais - ME,12/02/2021,14/06/2028,247,3,Sim,97179
045.896.217-11,Imóvel,827344,61,13563.016393442624,3.89,Sim,Rodrigues,29/06/2021,14/08/2048,13,12,Sim,58517
608.429.731-50,Veículo,277809,329,844.4042553191489,7.54,Sim,da Costa e Filhos,11/03/2025,24/04/2031,296,1,Sim,98959
428.736.509-74,Imóvel,704100,356,1977.808988764045,4.16,Sim,Novaes Rios e Filhos,10/02/2022,01/02/2032,74,12,Não,88462
235.489.761-82,Veículo,63976,196,326.40816326530614,8.96,Não,Novais,10/10/2021,17/04/2048,104,8,Não,29266
479.680.512-58,Veículo,121327,339,357.8967551622419,5.91,Sim,Lima,09/08/2023,31/08/2028,316,10,Não,28420
487.051.962-30,Veículo,464097,75,6187.96,6.56,Sim,Fernandes Gomes - EI,30/05/2022,05/11/2047,75,9,Sim,31560
386.059.174-66,Imóvel,922681,115,8023.313043478261,1.62,Sim,Rezende Rezende S.A.,02/12/2024,19/10/2038,25,11,Sim,30298
159.407.628-67,Imóvel,724942,342,2119.7134502923977,4.3,Sim,Brito Marques S.A.,18/04/2022,26/03/2040,167,7,Não,84484
860.325.971-21,Imóvel,908601,44,20650.022727272728,4.66,Sim,Porto,24/05/2023,03/05/2053,37,2,Sim,65815
596.478.302-38,Imóvel,831061,66,12591.833333333334,4.94,Sim,Rios,07/03/2024,19/02/2038,42,9,Sim,78277
615.482.730-07,Imóvel,895405,149,6009.429530201343,1.75,Sim,Câmara Costela S.A.,21/08/2023,13/02/2050,70,4,Não,92135
149.567.238-73,Veículo,257890,113,2282.212389380531,8.32,Sim,Duarte Novais - ME,25/11/2022,15/01/2038,49,0,Não,80526
192.350.784-23,Imóvel,648089,41,15807.048780487805,2.98,Sim,Aragão S.A.,24/01/2023,22/08/2043,16,4,Sim,84942
932.416.078-87,Veículo,214021,292,732.9486301369863,9.04,Sim,da Cunha Rodrigues S/A,13/01/2025,28/11/2052,18,11,Sim,50667
178.253.964-64,Imóvel,982685,353,2783.8101983002834,2.77,Sim,Montenegro,03/09/2024,14/03/2038,305,12,Não,46489
137.064.825-17,Veículo,137813,183,753.0765027322404,5.4,Sim,Casa Grande,22/06/2023,14/11/2053,130,10,Não,80180
069.548.317-00,Imóvel,641164,277,2314.6714801444045,2.8,Sim,Farias Sampaio e Filhos,06/07/2021,21/04/2055,196,8,Não,21491
174.805.692-11,Veículo,158084,232,681.3965517241379,9.74,Sim,da Mata,21/05/2025,22/03/2034,186,11,Sim,43056
790.812.453-41,Imóvel,692756,329,2105.641337386018,2.89,Sim,Sousa,07/05/2023,17/03/2048,326,4,Sim,35747
604.571.832-17,Imóvel,917240,175,5241.371428571429,1.97,Sim,Gomes Ltda.,21/08/2024,16/12/2051,174,9,Sim,43477
578.013.429-41,Veículo,345412,93,3714.10752688172,9.15,Não,Viana Oliveira - EI,18/07/2024,26/04/2034,60,5,Não,80872
182.635.479-46,Imóvel,943800,302,3125.1655629139077,3.48,Sim,Monteiro,16/09/2023,30/04/2046,276,2,Sim,10995
086.253.419-42,Imóvel,805185,338,2382.2041420118344,4.24,Sim,Farias S/A,21/12/2023,06/04/2041,160,12,Sim,42586
407.531.269-07,Veículo,455770,117,3895.4700854700855,7.59,Não,Caldeira S/A,04/03/2023,05/01/2052,105,6,Sim,66705
095.874.123-97,Veículo,292479,296,988.1047297297296,6.5,Sim,Teixeira,24/10/2021,24/06/2030,236,8,Não,22583
750.392.846-83,Veículo,451673,262,1723.942748091603,8.55,Não,Rios,12/01/2023,07/03/2030,213,0,Sim,30192
251.903.784-97,Imóvel,652280,145,4498.482758620689,4.23,Sim,Sousa e Filhos,28/06/2020,23/08/2049,53,9,Não,90947
427.503.896-74,Imóvel,954476,284,3360.830985915493,3.26,Sim,Teixeira,24/06/2020,18/11/2042,18,4,Sim,78686
350.219.748-23,Imóvel,897486,343,2616.577259475219,4.28,Sim,Moraes - EI,19/06/2023,10/02/2037,136,11,Não,72861
153.086.749-57,Imóvel,921176,327,2817.0519877675843,1.86,Sim,Alves,24/09/2024,03/06/2048,76,12,Sim,70659
892.610.743-40,Veículo,141929,188,754.9414893617021,9.84,Sim,Siqueira S.A.,08/04/2025,16/12/2027,89,0,Não,15030
734.108.592-41,Imóvel,862799,106,8139.61320754717,4.83,Sim,Novaes,22/05/2022,11/05/2028,60,0,Sim,39623
916.720.543-70,Veículo,389287,332,1172.551204819277,6.7,Sim,Freitas Borges Ltda.,05/11/2022,06/10/2025,129,12,Não,34012
405.639.872-00,Imóvel,698333,215,3248.060465116279,2.48,Sim,Melo,02/05/2024,02/10/2036,87,1,Sim,31069
841.972.036-40,Veículo,332040,215,1544.3720930232555,8.64,Não,Castro - EI,18/01/2025,24/05/2041,89,6,Não,68090
163.298.540-33,Veículo,445173,95,4686.031578947369,7.93,Sim,Fonseca,11/04/2023,15/02/2048,41,10,Não,85048
895.342.706-10,Imóvel,666643,296,2252.172297297297,4.36,Sim,Pinto,10/02/2025,08/11/2049,21,7,Sim,32590
510.462.398-05,Imóvel,562435,96,5858.697916666667,1.18,Sim,Cirino e Filhos,29/01/2022,12/09/2035,60,1,Não,98821
956.314.208-05,Imóvel,992896,77,12894.753246753247,2.32,Sim,Aragão S/A,10/10/2022,07/11/2038,55,9,Sim,52336
031.254.879-60,Imóvel,793330,205,3869.9024390243903,1.46,Sim,da Paz Campos - EI,14/06/2021,18/08/2032,105,2,Não,22575
203.917.645-43,Veículo,117987,289,408.25951557093424,7.42,Não,Moraes,24/02/2023,29/07/2045,246,8,Não,57953
109.374.265-80,Imóvel,940105,150,6267.366666666667,4.31,Sim,Castro,11/11/2021,16/09/2043,71,1,Sim,41524
475.269.380-10,Imóvel,700348,170,4119.694117647059,1.09,Sim,Albuquerque,16/10/2020,11/06/2053,59,5,Sim,47358
127.340.695-80,Veículo,233523,138,1692.195652173913,6.16,Não,Sá,15/01/2022,29/06/2049,107,12,Não,47342
135.029.468-33,Veículo,430572,44,9785.727272727272,9.66,Não,Cirino,10/09/2024,12/05/2049,28,7,Não,70488
573.048.926-92,Imóvel,975644,260,3752.476923076923,3.02,Sim,Dias,20/06/2022,11/01/2033,72,2,Não,91346
623.089.745-83,Veículo,307434,307,1001.413680781759,9.03,Não,Cirino,16/04/2022,24/06/2049,271,10,Sim,99254
637.514.980-01,Imóvel,659711,95,6944.3263157894735,4.06,Sim,Cassiano,05/11/2020,31/10/2026,10,6,Sim,65030
305.278.149-97,Imóvel,682305,56,12184.017857142857,3.04,Sim,Rocha,23/01/2025,19/12/2026,7,3,Não,46948
809.751.246-76,Imóvel,683175,294,2323.7244897959185,2.18,Sim,Guerra - EI,09/11/2021,21/05/2041,190,8,Não,72265
315.724.068-44,Imóvel,597157,161,3709.049689440994,4.1,Sim,Mendonça,01/03/2025,01/08/2040,144,3,Sim,96308
156.270.389-77,Imóvel,735204,107,6871.065420560748,4.4,Sim,Monteiro,09/09/2024,20/01/2049,34,4,Não,60399
932.870.516-95,Veículo,400901,21,19090.52380952381,7.89,Não,Aragão - EI,18/09/2022,11/05/2027,18,1,Sim,43273
623.478.905-65,Veículo,272184,318,855.9245283018868,6.11,Sim,da Cruz Ltda.,10/02/2025,09/02/2048,281,6,Não,45400
129.035.468-51,Veículo,78029,257,303.6147859922179,9.09,Sim,Leão Silveira - ME,04/11/2024,12/07/2030,114,4,Não,40229
146.983.025-60,Veículo,365859,13,28143.0,8.84,Sim,da Conceição,25/07/2024,04/08/2054,8,5,Não,65801
495.187.362-19,Imóvel,682161,200,3410.805,1.87,Sim,da Rosa,31/07/2020,10/04/2032,147,8,Sim,60279
123.709.685-59,Veículo,490258,92,5328.891304347826,7.69,Sim,Fonseca,21/09/2022,03/09/2042,27,7,Sim,91238
519.327.480-32,Veículo,147677,128,1153.7265625,7.29,Não,Pastor,14/05/2024,24/08/2026,11,4,Não,13674
475.869.320-00,Imóvel,957593,265,3613.5584905660376,3.62,Sim,Cardoso Cardoso S.A.,14/05/2023,09/05/2034,125,9,Não,28393
760.198.452-49,Imóvel,505533,95,5321.4,3.17,Sim,da Luz S.A.,25/08/2020,01/05/2042,40,0,Não,33100
864.597.321-91,Veículo,106165,347,305.95100864553314,5.17,Não,Martins,12/09/2021,27/06/2037,305,7,Não,25227
268.154.703-26,Imóvel,847292,252,3362.269841269841,3.12,Sim,da Conceição Fernandes S/A,25/02/2024,12/11/2049,210,0,Não,86799
216.807.534-44,Veículo,429528,307,1399.114006514658,6.61,Não,Cassiano S.A.,05/12/2023,04/02/2027,126,10,Não,27429
824.301.975-88,Veículo,85488,249,343.32530120481925,8.1,Sim,Jesus,23/10/2023,12/09/2053,15,5,Não,38690
895.274.603-10,Veículo,89842,88,1020.931818181818,8.67,Sim,Farias - EI,17/02/2023,08/04/2055,48,11,Sim,65494
027.835.461-08,Veículo,164040,13,12618.46153846154,5.68,Sim,Pastor Ltda.,01/03/2021,12/02/2029,10,7,Não,32939
690.453.217-34,Imóvel,811882,85,9551.552941176473,1.1,Sim,Moreira S/A,04/07/2023,12/08/2046,37,1,Sim,14512
032.465.819-24,Imóvel,848066,360,2355.738888888889,3.14,Sim,Fogaça S.A.,11/09/2021,14/02/2039,319,12,Sim,19192
195.738.624-09,Veículo,386793,359,1077.41782729805,5.69,Sim,Moura - ME,23/01/2024,08/07/2033,149,11,Não,70433
659.174.203-43,Imóvel,712703,169,4217.177514792899,1.14,Sim,Barros - EI,04/07/2024,27/09/2027,64,1,Não,99632
154.927.306-06,Imóvel,568189,33,17217.848484848484,3.19,Sim,Nunes Farias e Filhos,31/05/2024,21/08/2050,33,5,Sim,30315
362.150.974-70,Imóvel,814485,88,9255.511363636364,3.78,Sim,Moreira - ME,11/12/2022,27/07/2052,66,5,Não,67678
069.431.578-84,Imóvel,668729,281,2379.8185053380785,4.5,Sim,Nogueira,03/05/2021,14/08/2030,216,9,Sim,36980
398.104.265-42,Imóvel,713302,358,1992.463687150838,4.58,Sim,Martins,13/02/2024,29/05/2050,81,0,Não,61449
764.128.530-90,Veículo,312540,266,1174.9624060150377,8.56,Não,Moreira,21/09/2021,28/01/2042,169,9,Não,25559
635.092.174-70,Imóvel,962955,105,9171.0,4.24,Sim,Alves S.A.,25/12/2024,26/07/2039,68,2,Não,56985
471.086.359-84,Imóvel,832717,129,6455.170542635659,1.23,Sim,Castro,13/03/2022,28/06/2039,38,6,Não,23163
640.872.319-50,Veículo,71076,156,455.61538461538464,8.51,Sim,Ribeiro,09/03/2022,21/10/2035,82,8,Sim,13382
180.647.293-78,Veículo,64751,174,372.132183908046,8.42,Não,da Mata,17/10/2022,22/03/2034,133,0,Sim,26126
374.961.082-78,Imóvel,882991,250,3531.964,1.01,Sim,Sousa Fogaça - ME,09/03/2025,22/07/2041,1,5,Não,17434
156.072.398-02,Veículo,347642,97,3583.938144329897,8.32,Sim,Moreira - EI,25/08/2021,21/01/2053,30,1,Sim,88686
973.841.506-39,Imóvel,647096,233,2777.236051502146,2.16,Sim,Pastor S/A,30/05/2024,02/07/2038,56,6,Não,25281
165.974.320-61,Veículo,103802,161,644.7329192546584,7.15,Sim,da Mata,29/06/2023,28/11/2041,49,0,Não,12325
521.796.084-11,Veículo,150233,235,639.2893617021276,7.27,Não,Costa,17/06/2020,21/11/2030,90,10,Não,33048
572.910.634-34,Veículo,387856,223,1739.2645739910313,7.45,Não,Abreu Novais Ltda.,12/09/2022,29/11/2034,17,9,Sim,86264
876.213.945-28,Imóvel,906661,333,2722.705705705706,2.56,Sim,Camargo,06/11/2023,19/08/2033,151,3,Não,51587
183.527.409-97,Imóvel,523764,166,3155.2048192771085,2.51,Sim,Andrade S/A,24/09/2020,03/04/2050,35,12,Não,44399
029.476.385-65,Veículo,331451,329,1007.449848024316,8.0,Sim,Pimenta Castro S/A,25/01/2023,27/03/2052,119,2,Sim,11947
084.153.726-71,Imóvel,842718,335,2515.576119402985,2.73,Sim,Gomes,27/08/2023,07/12/2054,200,10,Não,50852
932.407.685-00,Imóvel,721053,309,2333.504854368932,2.42,Sim,Fogaça,23/03/2021,23/01/2053,78,7,Não,20351
630.945.172-34,Veículo,428196,262,1634.3358778625957,6.72,Não,Viana,13/10/2020,23/08/2035,254,0,Sim,20476
987.052.314-50,Imóvel,740539,217,3412.622119815668,1.98,Sim,Farias Cirino - ME,06/03/2025,03/01/2047,169,10,Não,96660
401.275.836-53,Imóvel,769093,259,2969.4710424710424,1.22,Sim,Pereira,22/09/2024,01/03/2042,131,12,Não,70830
856.149.027-67,Imóvel,529725,92,5757.880434782609,2.28,Sim,da Mata,04/08/2023,31/12/2054,66,6,Sim,54610
938.046.712-50,Imóvel,961140,334,2877.6646706586826,1.05,Sim,Novaes,29/07/2022,19/03/2039,28,8,Não,66925
284.130.956-89,Imóvel,569249,118,4824.14406779661,1.52,Sim,Pires S/A,06/02/2022,03/10/2031,34,4,Sim,83147
593.467.081-66,Veículo,312486,257,1215.8988326848248,5.76,Sim,da Mata e Filhos,20/04/2024,01/04/2043,241,2,Não,20833
296.750.381-95,Veículo,341969,41,8340.707317073171,6.68,Não,Caldeira,10/01/2021,11/12/2031,7,5,Não,68524
687.390.512-77,Imóvel,838517,236,3553.0381355932204,4.36,Sim,Sousa Macedo - ME,12/03/2022,27/04/2038,53,7,Sim,97419
872.695.301-30,Imóvel,582848,140,4163.2,2.59,Sim,Garcia,04/11/2022,04/09/2051,78,0,Sim,70118
259.173.064-43,Imóvel,787441,182,4326.5989010989015,3.19,Sim,da Luz,27/06/2023,31/03/2044,171,12,Não,24737
967.312.584-82,Veículo,51466,43,1196.8837209302326,9.43,Sim,Viana Barros - ME,20/05/2023,27/07/2053,34,7,Não,37045
436.579.281-46,Imóvel,907041,315,2879.495238095238,4.26,Sim,Machado,27/02/2021,28/05/2050,79,5,Sim,12815
583.796.201-86,Veículo,384865,133,2893.721804511278,9.45,Sim,Carvalho,13/06/2020,14/03/2039,87,8,Sim,13447
914.657.802-11,Veículo,108373,341,317.8093841642229,8.12,Sim,Cassiano Novais Ltda.,21/08/2020,09/09/2039,67,11,Não,99367
913.287.064-78,Imóvel,983882,309,3184.084142394822,1.89,Sim,da Luz Pereira e Filhos,18/04/2022,15/12/2028,140,1,Sim,25970
243.978.051-05,Veículo,358199,253,1415.806324110672,9.22,Sim,Sales,26/11/2022,19/02/2051,202,8,Não,55965
392.041.658-98,Veículo,119931,180,666.2833333333333,5.02,Não,Aparecida,10/05/2025,12/06/2051,48,5,Sim,51207
241.098.365-06,Imóvel,611894,87,7033.264367816092,2.46,Sim,da Cruz,08/07/2020,24/09/2052,59,0,Não,49290
152.936.807-30,Veículo,166698,187,891.4331550802139,7.25,Sim,Moura,11/03/2021,08/11/2045,61,0,Não,57089
134.790.852-88,Imóvel,926226,165,5613.490909090909,2.91,Sim,Pereira - EI,29/08/2022,29/04/2032,116,0,Sim,68183
628.574.130-17,Imóvel,980248,229,4280.558951965066,2.91,Sim,da Cruz S.A.,25/07/2021,18/11/2038,82,10,Sim,49329
042.567.389-83,Veículo,384325,108,3558.564814814815,5.87,Sim,Pereira,26/11/2021,31/05/2031,95,5,Sim,18659
