CPF	Tipo de Seguro	Seguradora	Valor da Cobertura	Número de Sinistros	Valor do Prêmio Mensal
546.873.201-71	Automóvel	Rezende - ME	248340	1	322
483.029.165-60	Residencial	Rodrigues	384829	5	1295
619.403.275-80	Residencial	Freitas	124671	1	781
306.542.971-34	Residencial	Pinto	197742	3	1278
083.295.614-70	Vida	Gonçalves	879666	4	1394
271.046.395-43	Residencial	Pires Moraes - EI	436338	5	861
861.793.254-64	Residencial	Gomes	73893	3	636
463.578.219-00	Automóvel	Souza	295740	0	434
438.165.702-08	Vida	Barros e Filhos	728642	5	833
905.281.473-23	Automóvel	Pimenta Melo e Filhos	301780	2	831
971.635.420-70	Automóvel	Cavalcanti	91855	0	362
743.568.190-39	Automóvel	Casa Grande	57290	1	634
864.390.571-20	Residencial	Martins S.A.	292962	4	877
085.267.493-74	Automóvel	Martins S/A	436250	5	963
863.259.047-29	Automóvel	Dias	286486	1	1006
230.469.578-74	Automóvel	Sampaio	467458	5	1047
492.361.075-16	Vida	Vieira - ME	706624	1	486
483.106.729-69	Vida	Porto	794437	3	417
451.602.978-20	Residencial	Moura S.A.	171388	5	606
754.812.069-94	Vida	Nogueira e Filhos	652675	4	738
845.193.706-39	Automóvel	da Mota	472710	5	1246
746.193.085-01	Vida	Brito	728495	2	1194
784.601.352-17	Automóvel	Mendonça Pires e Filhos	465187	5	880
609.752.348-38	Residencial	Mendonça	190404	4	909
543.968.270-83	Residencial	da Mata Ltda.	297934	5	964
602.819.354-24	Vida	Ribeiro	581230	1	706
906.314.827-50	Residencial	Freitas	98652	5	1290
308.519.264-60	Automóvel	Peixoto	75537	2	364
718.024.396-50	Residencial	Pastor e Filhos	229480	0	986
417.062.895-02	Automóvel	Almeida	469489	4	1024
715.362.894-00	Residencial	da Cunha - EI	314878	5	784
702.148.365-17	Automóvel	Cavalcanti	428606	2	379
096.345.827-29	Automóvel	Sales	203378	0	956
957.106.328-21	Vida	Nunes Pacheco Ltda.	772486	3	758
924.763.058-47	Residencial	Borges	183453	0	570
846.309.527-56	Automóvel	Duarte	136819	0	438
782.543.901-50	Automóvel	Pastor S.A.	414719	3	590
640.728.351-53	Residencial	Melo	426271	3	733
790.638.542-00	Automóvel	Souza da Costa - ME	410526	4	894
329.547.601-25	Automóvel	Monteiro	322332	3	949
047.936.215-70	Residencial	Novaes	135825	1	574
804.621.953-33	Vida	Câmara e Filhos	967528	4	990
096.871.534-66	Automóvel	Macedo Fonseca - EI	195653	3	841
290.456.173-07	Residencial	Aparecida Duarte S/A	380526	5	1488
820.476.315-80	Vida	Oliveira	511876	1	420
137.465.802-26	Automóvel	da Conceição	269209	4	981
078.423.156-71	Vida	Vieira	698853	0	435
518.749.603-48	Residencial	Caldeira	358022	4	622
910.435.267-06	Vida	Pires Cunha S/A	514684	3	867
594.726.301-70	Vida	Nascimento	668947	4	1211
641.293.508-89	Residencial	Leão da Costa - ME	256743	1	1076
895.127.634-19	Automóvel	Cunha	338949	2	541
739.046.851-39	Automóvel	Nascimento	140709	4	1299
165.978.340-20	Residencial	da Costa Barros Ltda.	160888	5	679
368.974.150-57	Automóvel	Machado Borges S.A.	175210	1	655
854.139.620-70	Vida	Vargas	925227	3	946
472.195.608-85	Residencial	Sousa - ME	260625	4	826
675.923.184-82	Automóvel	da Conceição Barbosa S.A.	269563	0	122
382.057.946-00	Vida	Sampaio	577245	1	455
025.916.483-60	Vida	Novaes Correia - ME	502205	1	516
158.439.206-15	Residencial	Azevedo - ME	361675	1	860
257.380.619-77	Vida	da Cruz Abreu - ME	962382	4	943
427.306.518-53	Vida	Nunes Andrade e Filhos	968286	3	812
829.713.045-23	Automóvel	Mendonça S/A	191240	1	803
967.813.024-69	Residencial	da Luz	352188	1	278
038.765.942-00	Vida	Brito	862128	0	412
952.063.418-51	Automóvel	Sá	491401	1	922
368.952.714-73	Residencial	Fonseca	248188	1	938
139.752.860-59	Automóvel	Moura	330159	0	849
946.823.157-73	Automóvel	Moraes	235780	5	602
584.193.726-09	Residencial	da Conceição	426601	4	549
408.321.576-35	Automóvel	Freitas Ltda.	263359	2	1162
531.960.728-86	Automóvel	Cirino S/A	222516	0	180
482.107.639-03	Vida	Martins Oliveira - ME	808785	4	821
087.629.354-29	Vida	Gonçalves	528783	2	685
147.892.350-41	Vida	Rodrigues	748862	2	361
127.405.893-79	Automóvel	Rocha	217756	3	1253
048.976.351-01	Vida	Alves S/A	742842	5	1420
487.506.219-20	Residencial	das Neves	462918	4	966
870.596.421-02	Automóvel	Novais	115175	5	1146
169.837.042-31	Automóvel	Lima	131376	5	809
925.617.304-25	Automóvel	Souza Ltda.	364297	5	980
064.985.731-39	Automóvel	Vasconcelos	139313	3	489
284.760.531-26	Residencial	Vieira - EI	93367	1	685
634.278.910-03	Automóvel	da Rocha e Filhos	318203	4	1176
681.905.427-02	Automóvel	Araújo	466422	4	924
547.231.069-52	Residencial	Siqueira	495481	0	500
027.451.869-49	Automóvel	Pacheco	200866	1	506
063.281.594-98	Vida	Ramos Ltda.	934579	3	717
352.167.984-55	Vida	Rezende	691533	0	669
356.029.184-42	Vida	Lopes	567460	5	627
785.190.364-57	Residencial	Duarte Duarte - ME	62824	5	1021
578.460.219-58	Vida	Cavalcanti da Rosa Ltda.	648452	4	816
914.257.830-23	Automóvel	Silveira Aragão S/A	426410	1	991
562.430.187-17	Automóvel	Sá	434542	4	859
634.098.215-89	Vida	Peixoto	837445	2	634
954.736.210-07	Vida	Silva Araújo S.A.	699602	1	245
469.178.305-93	Vida	Borges Cunha - ME	645385	4	545
931.520.768-86	Residencial	Rocha Fonseca S/A	339454	5	856
742.569.381-09	Automóvel	Castro	385767	2	797
501.782.946-67	Residencial	da Rosa da Conceição S/A	165817	1	415
527.930.864-10	Residencial	Souza da Conceição Ltda.	454882	0	129
129.087.364-03	Vida	da Luz	591193	2	316
312.498.067-04	Residencial	Rodrigues - ME	441574	4	1318
496.573.280-47	Automóvel	Sampaio	103650	3	885
132.658.904-06	Vida	das Neves - EI	762282	4	550
726.840.193-04	Automóvel	Peixoto	477821	3	851
324.958.760-56	Residencial	Nunes Ltda.	299910	3	687
641.905.278-58	Automóvel	Mendonça	165001	1	1044
862.459.731-55	Automóvel	Jesus - ME	428685	0	386
652.947.813-28	Residencial	Guerra S/A	280636	0	628
642.179.038-04	Residencial	Fonseca	387910	1	980
642.189.705-30	Vida	da Rosa Ltda.	667258	2	447
318.745.960-93	Automóvel	Jesus	299671	2	1014
426.187.930-13	Vida	Jesus Oliveira - ME	946682	4	1313
561.807.234-35	Automóvel	Porto	225453	4	1017
437.920.851-60	Residencial	Sales Siqueira S/A	79388	1	714
760.539.812-30	Vida	Vieira	686772	2	537
402.796.385-74	Residencial	Siqueira Lima Ltda.	187272	0	398
890.641.372-69	Vida	Sales - ME	784271	3	974
326.981.750-95	Vida	Moreira	959675	0	741
253.748.106-26	Vida	Sales	791388	5	1405
810.542.369-33	Residencial	Oliveira	342519	4	1163
201.756.948-85	Residencial	Duarte	97071	3	810
581.627.934-37	Automóvel	Silveira	125247	4	924
763.241.950-07	Vida	Teixeira Carvalho - EI	512557	4	775
456.091.283-15	Vida	da Costa	872055	3	478
723.865.149-19	Vida	Porto	500662	4	1139
105.437.869-00	Residencial	Costa - ME	411481	5	906
513.420.869-70	Vida	Moura Jesus e Filhos	732768	1	1013
950.187.346-39	Automóvel	Almeida S.A.	299740	0	492
945.620.713-70	Residencial	Brito Carvalho S/A	263045	0	973
736.048.192-96	Automóvel	Farias	412874	5	942
416.753.082-17	Automóvel	da Cruz	435106	5	1007
542.310.879-97	Residencial	Mendes	87350	0	460
287.164.039-40	Automóvel	Fonseca - EI	110441	1	752
623.490.185-98	Vida	Albuquerque	984183	5	1201
194.632.750-61	Residencial	Freitas Ltda.	173873	4	854
739.648.215-19	Residencial	Peixoto	425084	4	1292
326.578.140-26	Residencial	da Cruz Nogueira S/A	429353	1	670
724.390.856-00	Automóvel	Souza	350080	1	430
581.360.974-10	Automóvel	Fonseca Ltda.	499121	4	804
821.075.436-07	Automóvel	Monteiro e Filhos	320501	3	659
734.685.209-56	Automóvel	Fernandes	498950	5	1147
689.217.534-19	Vida	Barbosa S/A	579547	0	940
435.081.726-35	Residencial	Pimenta	145093	1	496
269.314.085-42	Vida	Cardoso	982771	2	476
863.210.975-86	Residencial	Moraes	287706	5	942
350.642.971-06	Residencial	Aragão Gonçalves - EI	153864	5	1295
284.067.915-94	Residencial	Jesus Porto S/A	253928	5	1396
783.421.906-50	Residencial	Guerra	116770	2	634
801.932.546-89	Automóvel	Araújo	191770	1	325
169.280.735-86	Automóvel	Pinto	448315	1	309
689.735.402-38	Residencial	Silveira	391782	1	690
401.258.967-94	Automóvel	Cavalcanti	111119	2	549
108.326.495-89	Vida	Abreu Barros S/A	952969	3	849
024.316.587-08	Vida	Cavalcante	720186	1	1060
618.325.940-33	Vida	Moura	912463	1	506
021.547.986-67	Vida	Oliveira	800846	3	528
831.456.920-89	Vida	Pires Martins e Filhos	656850	4	1291
431.298.065-98	Residencial	Cavalcanti	453808	3	986
081.692.437-69	Vida	Martins S/A	724302	4	1147
902.358.416-33	Automóvel	Peixoto S.A.	359723	0	336
108.425.639-89	Vida	Rocha	513593	0	705
694.153.708-66	Vida	Brito	511731	0	402
867.450.213-07	Vida	Silva	651361	4	815
537.409.186-75	Automóvel	Sousa S/A	473305	4	737
864.759.231-09	Vida	Cunha	909822	2	1080
945.810.627-30	Automóvel	Novaes	273561	3	1228
635.910.742-25	Automóvel	Rezende	344233	1	950
351.607.924-06	Automóvel	Ribeiro Pereira S/A	384340	5	1303
678.290.351-21	Vida	Fogaça	942859	0	980
058.396.741-84	Automóvel	Garcia Farias S.A.	351460	3	596
154.370.698-39	Vida	Silva S.A.	515978	2	1043
804.197.362-04	Residencial	da Costa Ltda.	424077	5	848
389.421.560-70	Automóvel	Casa Grande	311383	5	1030
047.952.163-80	Vida	Machado da Mata S/A	716877	3	1005
583.942.607-56	Vida	Cunha S/A	770742	4	1317
621.794.038-87	Automóvel	Dias Lima S.A.	305506	1	773
354.792.180-50	Residencial	Siqueira Fonseca S.A.	380644	4	530
985.346.170-66	Automóvel	da Paz Rodrigues Ltda.	265213	5	1442
046.935.781-93	Residencial	Cavalcante Ltda.	286468	2	442
025.971.436-43	Automóvel	Moura	266947	4	876
801.273.654-35	Automóvel	Costela	106540	4	1249
289.673.450-38	Automóvel	da Luz	491852	0	133
106.873.295-40	Automóvel	Santos	139402	2	546
093.568.124-89	Residencial	da Mata - EI	419838	3	723
905.384.612-33	Residencial	Pereira Lopes Ltda.	326910	5	1082
794.152.360-43	Automóvel	Aparecida Teixeira - ME	165380	0	592
947.851.203-04	Automóvel	Moraes Leão Ltda.	446284	0	747
068.719.524-11	Residencial	Duarte	453061	2	555
264.513.708-35	Automóvel	Siqueira	247541	3	470
374.685.029-00	Residencial	Abreu Casa Grande - ME	184075	0	441
957.234.160-06	Vida	Rodrigues Teixeira S.A.	615800	5	967
027.139.465-06	Automóvel	Costa - EI	483104	3	1081
395.604.271-99	Vida	Santos	598610	5	1009
765.190.824-49	Residencial	Nascimento	168823	1	692
560.941.328-15	Residencial	Costela Ltda.	382286	5	1262
241.576.390-06	Automóvel	Vargas	122316	0	338
530.819.264-24	Vida	Barros	803188	1	948
764.153.029-06	Vida	da Cruz	633353	1	890
342.861.705-35	Residencial	Fernandes	432603	2	859
071.698.452-02	Automóvel	da Luz	98174	0	906
317.859.062-59	Residencial	Almeida	356157	4	1211
917.643.285-82	Vida	Brito S.A.	686886	4	1398
180.643.295-15	Residencial	Pires	114791	3	1034
730.582.641-35	Automóvel	Nunes - ME	223768	0	615
724.860.395-38	Vida	Sá	978252	1	541
681.204.593-42	Residencial	Camargo - ME	427073	0	931
567.892.130-40	Residencial	Vargas	310793	4	646
321.875.096-21	Residencial	da Cunha	261437	5	810
618.094.327-31	Residencial	Nunes	310630	0	528
034.296.785-10	Residencial	Silveira	321126	4	611
750.862.913-21	Residencial	da Costa	226599	2	861
349.158.067-66	Residencial	Aragão	88728	3	1063
261.583.407-07	Vida	da Rocha	875215	5	1134
815.037.964-93	Vida	Leão - ME	783066	1	306
952.684.107-76	Residencial	Novaes da Rocha S.A.	104637	3	618
854.309.621-98	Vida	Alves	887531	2	1110
170.569.382-21	Residencial	Marques S.A.	169419	5	1271
120.869.543-60	Automóvel	Rodrigues	153364	4	1376
058.491.372-97	Automóvel	Fernandes	53580	0	793
830.956.271-30	Automóvel	da Rocha Nogueira - EI	274051	5	897
195.670.348-93	Vida	Guerra	807109	0	417
260.859.437-92	Automóvel	Melo	180549	5	1268
906.712.843-04	Residencial	Rocha Costela S/A	368632	4	834
634.159.207-80	Residencial	Camargo	63131	2	783
743.821.906-22	Vida	Silveira	505201	2	1073
341.026.759-06	Residencial	Ribeiro Marques e Filhos	418607	2	800
481.637.592-91	Vida	Teixeira Ltda.	576571	5	835
802.964.713-13	Automóvel	Lima	373255	4	979
015.482.637-53	Automóvel	da Paz	355051	3	770
683.421.507-71	Automóvel	Abreu	392507	0	181
697.813.025-77	Vida	Câmara Silva Ltda.	754513	0	480
102.863.475-71	Automóvel	Ramos Pacheco e Filhos	327735	1	218
738.214.906-40	Automóvel	Leão Marques e Filhos	127306	0	469
278.415.390-88	Residencial	Viana Novais - EI	74642	4	1226
529.734.086-10	Vida	Duarte	504990	2	854
520.617.943-43	Residencial	Caldeira	276874	2	917
162.349.758-28	Residencial	da Conceição Nunes e Filhos	68951	5	1257
460.275.193-80	Residencial	Farias	439984	3	640
482.763.910-87	Automóvel	Almeida	295077	3	926
863.521.904-05	Automóvel	Sampaio	373304	1	638
630.127.945-06	Vida	da Mota	918995	5	678
392.705.814-97	Vida	Sampaio	815659	2	1102
307.812.645-53	Automóvel	Farias	365987	0	962
982.563.741-28	Residencial	Costela Barbosa Ltda.	168642	5	1397
764.810.529-20	Automóvel	Porto Nascimento Ltda.	471481	0	577
780.164.935-48	Automóvel	Sampaio Campos S.A.	419210	3	553
628.437.015-62	Automóvel	Rezende Silveira - EI	160173	5	1312
725.410.896-94	Vida	Nogueira	970024	4	1308
178.023.596-86	Automóvel	Mendonça	386840	1	267
259.643.708-29	Residencial	Garcia da Mota - ME	317923	2	509
267.045.931-52	Vida	Rocha Jesus S.A.	905979	0	545
769.248.135-00	Residencial	Novais	363888	4	1214
143.625.709-34	Residencial	Ribeiro	55276	2	397
586.734.012-08	Automóvel	Sá Almeida - EI	320282	2	910
263.508.149-24	Automóvel	Santos	489125	2	884
528.760.913-21	Vida	Nogueira	999245	4	1020
057.964.283-65	Automóvel	da Rosa Ltda.	59616	4	1313
189.754.230-50	Residencial	Freitas Lopes S/A	249647	0	266
270.436.185-17	Vida	Castro	962143	0	369
629.108.745-67	Vida	Pires - ME	772269	1	975
653.742.190-06	Residencial	Souza	198316	5	799
651.790.324-07	Automóvel	Novaes	387140	3	980
273.610.854-07	Automóvel	Viana	269168	1	541
381.542.769-09	Automóvel	Monteiro S.A.	349410	2	956
874.253.610-35	Vida	Barbosa	933561	2	424
752.983.140-23	Residencial	Novaes	179928	1	618
958.021.473-50	Vida	Cassiano	938957	2	724
475.326.019-43	Automóvel	Freitas - ME	120437	2	454
672.385.149-82	Vida	Cavalcante	647057	5	1147
861.735.902-12	Automóvel	Novaes S/A	411031	3	659
507.849.612-20	Automóvel	Borges	383851	1	555
194.270.583-23	Automóvel	Sampaio	371918	2	1166
490.187.532-97	Residencial	Rios	494368	3	622
085.697.431-57	Automóvel	Martins S/A	253287	2	707
617.549.038-00	Residencial	Rios Pinto Ltda.	65861	4	1094
816.095.237-68	Vida	Pastor	527895	3	1198
609.125.387-59	Automóvel	da Conceição Camargo S/A	192776	5	1052
294.703.561-52	Vida	Fernandes	736093	4	969
426.359.718-46	Automóvel	Duarte S.A.	473900	3	648
354.960.287-10	Residencial	Oliveira - EI	360411	4	947
936.154.270-25	Automóvel	Pastor	263808	2	936
563.814.290-89	Automóvel	Gonçalves	333739	5	631
913.408.725-79	Residencial	Sousa Ltda.	403784	1	528
126.375.089-30	Vida	Pires	793747	5	1492
315.789.602-40	Vida	Moraes	744087	0	320
745.962.831-09	Residencial	Dias Almeida S.A.	176379	1	410
629.018.735-02	Automóvel	Vieira	112752	4	878
065.812.734-90	Automóvel	Rodrigues	114369	2	602
413.860.527-44	Residencial	Silveira	202077	4	803
862.354.710-17	Vida	Costa	553040	4	613
984.670.315-57	Automóvel	Moura Rodrigues S/A	97056	3	1235
936.821.745-91	Residencial	da Mata Araújo Ltda.	154394	3	934
526.084.971-01	Automóvel	Carvalho	482444	1	350
705.319.462-07	Vida	Rios	947984	1	239
864.302.751-08	Automóvel	Silveira e Filhos	72801	2	1051
564.172.098-49	Residencial	Albuquerque S/A	292638	2	800
392.751.086-68	Vida	Gonçalves Montenegro S/A	837265	2	670
456.937.201-52	Residencial	Guerra S/A	56532	3	433
368.412.097-96	Vida	Casa Grande	981925	0	768
765.123.498-73	Vida	Ramos	629089	3	797
208.794.615-94	Vida	Gonçalves	623112	3	678
851.069.437-01	Automóvel	Aragão S/A	96113	5	1238
694.873.021-31	Residencial	Campos Camargo Ltda.	460690	5	854
480.576.293-47	Residencial	Borges Alves S/A	425136	0	709
367.508.149-48	Automóvel	Cunha	303110	1	612
368.750.124-80	Residencial	Sales	157333	0	677
154.683.279-37	Automóvel	Ramos	211170	5	1443
897.043.156-00	Automóvel	Nunes	457586	1	203
074.628.153-62	Automóvel	Nunes Cirino - ME	283181	0	930
058.643.791-66	Residencial	Ribeiro	385921	4	888
390.174.256-52	Vida	Aragão S.A.	988125	2	1127
832.406.591-15	Automóvel	da Mota	69851	2	807
865.320.471-71	Vida	Cavalcante	668299	5	1387
462.091.783-40	Residencial	Pacheco Vasconcelos - ME	450206	0	228
817.269.045-20	Residencial	da Rocha S/A	141086	0	577
936.840.215-98	Automóvel	Rocha Ltda.	200350	2	632
746.302.895-00	Automóvel	Almeida	186340	1	715
518.647.039-20	Automóvel	Machado - EI	304280	4	665
031.978.642-04	Residencial	Cirino Melo - ME	238483	2	306
796.802.153-77	Residencial	Pereira Andrade e Filhos	71420	0	806
938.072.541-88	Residencial	Cavalcante	310681	1	994
685.471.320-07	Vida	Porto	742248	1	505
067.583.241-17	Vida	Barbosa e Filhos	888413	2	643
540.173.698-39	Vida	Sales Ltda.	940835	0	529
054.289.736-92	Automóvel	da Conceição	293094	1	462
350.219.687-77	Automóvel	da Cruz da Costa Ltda.	387671	5	1031
408.312.795-32	Vida	Ramos	868556	1	642
017.625.493-52	Automóvel	Rocha	299836	3	836
725.098.643-00	Residencial	Cardoso - ME	215114	0	370
470.568.213-08	Automóvel	Macedo	95399	5	1449
823.047.196-78	Automóvel	Ferreira Pimenta S/A	307799	2	693
124.978.356-91	Residencial	Macedo - EI	228073	4	1332
627.598.430-92	Vida	Macedo	564675	2	1089
614.807.392-78	Vida	Ferreira	505010	3	1280
085.492.761-11	Residencial	Silveira - EI	195142	1	409
415.278.693-00	Vida	Viana	986756	0	414
536.148.209-98	Automóvel	Pacheco	247541	0	570
913.647.058-93	Residencial	Farias	370132	2	1010
817.609.245-20	Automóvel	Campos	458760	5	952
547.312.906-43	Vida	Pires da Costa Ltda.	860334	2	1093
573.019.486-20	Residencial	Jesus	273251	4	1209
876.092.415-20	Automóvel	Machado	408120	4	1365
867.019.432-50	Vida	Campos	535164	3	681
712.359.604-80	Automóvel	Garcia S/A	265103	4	712
092.684.713-96	Automóvel	Cardoso Ltda.	295663	1	527
302.967.415-07	Residencial	Porto Fernandes e Filhos	157564	3	1259
491.028.756-67	Vida	Caldeira	990001	2	970
421.607.598-30	Automóvel	Campos Abreu S.A.	443667	2	313
185.742.036-53	Residencial	Cirino	444482	1	465
059.273.486-29	Residencial	Viana Fernandes S.A.	376050	1	415
275.913.086-02	Automóvel	Ferreira	450087	3	968
548.397.610-00	Residencial	Novais S/A	385231	2	522
391.852.740-97	Vida	Moreira	544522	5	1435
213.750.694-70	Residencial	Lima	335199	5	731
481.903.527-41	Residencial	Mendonça	51063	4	1235
157.328.046-17	Vida	Alves	865953	5	1327
948.672.035-56	Residencial	Farias	231708	4	1030
750.683.219-40	Residencial	Marques da Luz - ME	494067	3	1183
784.062.913-03	Vida	Cassiano	650112	2	449
658.079.231-03	Residencial	Cardoso Barbosa - ME	435752	5	1126
294.570.136-70	Residencial	Pinto Cardoso e Filhos	55339	5	1379
745.983.061-57	Vida	Novaes Camargo e Filhos	582376	3	867
856.032.197-77	Vida	Caldeira - EI	616579	3	751
064.271.985-30	Vida	Alves	812744	2	436
854.062.179-76	Residencial	Macedo	490163	2	513
720.538.496-65	Automóvel	Siqueira - EI	355379	3	653
148.960.327-13	Automóvel	Rios	284499	2	568
172.409.365-70	Vida	Cassiano Mendes S.A.	741110	5	973
853.672.041-71	Vida	Novaes Fogaça - ME	745778	0	848
639.408.251-15	Residencial	Silveira	421908	0	868
285.463.017-35	Vida	Ribeiro S/A	518626	2	1175
159.274.683-73	Residencial	da Luz	188175	5	914
360.172.548-71	Automóvel	Casa Grande	481018	2	1017
287.960.451-67	Residencial	Vasconcelos	256645	0	295
820.196.354-70	Automóvel	Casa Grande	434493	3	1000
184.635.927-91	Residencial	Ferreira e Filhos	419372	0	719
091.243.765-07	Residencial	Caldeira	127631	4	1259
132.856.940-33	Automóvel	Borges S/A	156565	4	1100
296.175.830-03	Automóvel	Brito S/A	144132	0	761
627.981.054-20	Residencial	Fogaça - EI	60539	5	673
716.042.938-96	Residencial	Ferreira	234435	5	1153
759.321.084-79	Automóvel	Novaes	62654	2	1090
523.014.687-71	Residencial	Cardoso S/A	109223	1	1076
637.285.049-47	Vida	Guerra Moura Ltda.	568591	2	348
920.385.674-92	Vida	Cavalcante	687445	2	1061
786.532.041-80	Automóvel	Cirino Porto Ltda.	106516	0	172
302.815.679-21	Residencial	Carvalho	342871	4	923
980.321.457-88	Vida	Rocha - EI	758134	1	270
269.054.783-00	Residencial	Farias - EI	488930	5	727
025.671.843-17	Vida	da Cruz	949775	2	310
702.314.589-32	Vida	Correia e Filhos	692272	0	442
192.537.048-88	Automóvel	Correia	130259	5	770
724.689.351-28	Vida	Guerra	851021	2	1042
135.809.472-14	Vida	Monteiro Ltda.	622323	5	1117
278.695.340-56	Residencial	Fonseca - ME	244027	0	514
309.156.248-42	Residencial	Montenegro Souza Ltda.	293786	1	753
423.516.780-44	Automóvel	da Cruz Guerra S/A	78047	0	387
748.365.921-19	Vida	Mendes	779692	5	1050
218.976.053-40	Vida	Melo Ltda.	884135	0	278
847.951.026-94	Automóvel	Souza e Filhos	175955	4	1239
567.214.390-34	Automóvel	Guerra	465621	1	386
564.801.972-67	Vida	Pacheco Ltda.	749367	1	209
538.609.271-59	Automóvel	Jesus Vargas e Filhos	105473	4	1156
976.235.408-74	Automóvel	Moura Ltda.	234598	3	976
968.471.235-91	Automóvel	Barros Cirino e Filhos	400809	3	857
932.864.570-00	Vida	Silva	791404	5	660
853.607.421-35	Residencial	Farias	275179	4	1273
561.308.472-62	Automóvel	Casa Grande Moraes e Filhos	67388	2	678
976.280.513-59	Automóvel	Caldeira e Filhos	245965	0	146
475.290.863-83	Residencial	Cassiano	137939	0	147
740.569.321-07	Residencial	Barros Duarte S.A.	216355	3	652
243.769.810-87	Vida	Silveira	985311	5	1323
562.389.417-82	Residencial	Pereira Gonçalves S/A	78631	5	968
604.915.237-34	Automóvel	Duarte Vasconcelos - EI	349661	3	554
487.901.653-57	Automóvel	Novais - ME	470123	4	654
768.190.532-40	Vida	Castro	801586	5	951
241.967.850-85	Automóvel	Monteiro	187552	1	602
298.657.340-10	Vida	Montenegro	773414	0	687
129.607.845-02	Automóvel	Silva S/A	134905	5	1280
128.563.790-95	Vida	Montenegro	940963	5	809
857.231.904-23	Vida	da Costa	866946	3	1050
026.815.473-26	Vida	Mendes Costela - EI	561536	4	1264
864.392.701-50	Residencial	Ribeiro - ME	237072	0	625
463.728.059-10	Automóvel	Garcia Ltda.	443244	4	1114
980.351.674-48	Residencial	Sá Monteiro - EI	104761	5	1271
860.427.139-22	Automóvel	Lopes Oliveira e Filhos	247787	4	1111
816.593.074-57	Automóvel	Santos	498646	5	1202
471.923.605-70	Residencial	Silveira	191406	5	1195
382.076.519-03	Vida	da Conceição e Filhos	996405	2	919
216.308.547-35	Automóvel	Rezende	303919	3	516
615.937.802-30	Residencial	Ramos	316240	5	1397
908.612.354-60	Automóvel	Araújo	259818	3	1229
180.594.276-01	Vida	Cirino S/A	571548	4	1315
682.931.745-28	Residencial	Sousa Freitas e Filhos	114830	0	807
154.680.279-76	Vida	Mendes	914225	5	1299
582.617.940-67	Vida	Nascimento	808399	2	998
701.984.562-20	Vida	Macedo Ltda.	840898	2	987
314.679.025-43	Automóvel	Cavalcante Dias - ME	462680	5	1451
725.490.136-70	Automóvel	Farias	171060	0	595
281.653.049-33	Automóvel	Viana - EI	242860	2	1096
785.149.263-73	Vida	Mendonça	823923	1	760
193.520.476-99	Vida	Vargas	692243	2	948
845.962.173-19	Residencial	da Cruz Garcia e Filhos	154084	1	1058
697.241.580-20	Vida	da Paz	816846	1	212
402.965.183-60	Vida	da Cruz	967244	3	586
689.371.542-00	Automóvel	Barros	281990	3	798
691.235.804-70	Automóvel	Andrade	417883	1	870
413.960.728-96	Vida	Casa Grande	536973	3	581
310.862.794-50	Automóvel	Melo	298244	4	754
138.975.240-23	Automóvel	Aparecida Machado Ltda.	122537	3	794
061.725.349-80	Vida	das Neves	758771	5	1271
239.576.140-07	Automóvel	Aragão	107534	4	1189
258.734.961-37	Residencial	Peixoto Sousa - ME	155033	0	643
647.593.280-92	Residencial	Vasconcelos S/A	346103	2	413
710.259.864-58	Automóvel	Jesus - EI	270881	5	873
693.507.821-03	Vida	Costela e Filhos	574417	0	642
912.580.743-97	Automóvel	Albuquerque	300224	5	687
361.208.549-24	Automóvel	Freitas S.A.	117409	3	432
380.762.945-92	Residencial	Cirino Sá S/A	56257	4	1366
218.607.594-67	Automóvel	Cassiano	127645	4	1173
936.045.821-05	Automóvel	Araújo da Mata Ltda.	248032	1	651
631.257.094-07	Automóvel	Nunes	247917	2	588
645.219.083-06	Vida	Carvalho	866308	3	622
715.436.280-44	Residencial	Nogueira	408418	5	1058
136.724.580-07	Automóvel	da Luz Machado - ME	302100	0	614
840.935.612-06	Automóvel	da Rocha e Filhos	321008	0	904
902.687.531-21	Automóvel	Costela	55508	5	725
358.960.721-12	Automóvel	Araújo	482163	4	1045
045.162.983-33	Automóvel	Cavalcante Ltda.	455509	2	540
581.437.096-39	Automóvel	da Luz Ltda.	477251	1	545
386.475.092-00	Automóvel	Silveira	325677	1	841
127.839.054-50	Vida	Guerra	890708	5	1201
361.784.095-75	Residencial	da Mota	397791	5	1057
573.094.126-99	Automóvel	Sampaio	494914	3	712
371.258.406-71	Residencial	Cunha Oliveira - EI	486411	3	667
254.807.693-83	Vida	Teixeira	543848	2	1149
531.298.674-73	Automóvel	Costela	124366	4	1282
641.203.579-61	Vida	Sá	589152	4	720
640.513.728-71	Vida	Correia Ltda.	539213	4	732
056.824.179-76	Automóvel	Rios	149047	1	264
189.240.675-67	Automóvel	Jesus	64548	0	527
519.487.023-04	Vida	da Conceição - ME	588421	4	802
928.765.103-59	Vida	Mendes	772277	4	1222
698.205.731-30	Automóvel	Marques	416642	0	918
761.982.405-76	Vida	Novais	674898	3	1273
680.312.475-44	Residencial	Ribeiro	265105	0	654
763.520.894-29	Automóvel	das Neves Moraes e Filhos	463237	2	540
704.562.391-70	Automóvel	da Mota	76908	4	1363
015.674.938-66	Residencial	Sampaio da Luz S.A.	466951	4	506
932.015.476-70	Automóvel	Caldeira Caldeira Ltda.	206457	5	1289
